1;Afghanistan;66.00844768723816;33.83626707196046
2;Albania;20.05381919704362;41.14248206044554
3;Algeria;2.653091376797369;28.14888965733064
4;Andorra;1.56075624107325;42.54132652502616
5;Angola;17.53698501236057;-12.29231569092982
6;Antarctica;19.90839906393783;-80.50821937877421
7;Argentina;-65.17819064263701;-35.38755136485632
8;Armenia;44.93230121812848;40.28813415391144
9;Australia;134.4911187877998;-25.73231053905584
10;Austria;14.13067288731316;47.5856569205222
11;Azerbaijan;47.54211124798293;40.28911904009703
13;Bahamas;-76.55125221251876;24.22280928156869
14;Bahrain;50.54661934758981;26.05278429440865
15;Bangladesh;90.24200001632242;23.84567734760202
16;Barbados;-59.56121774811805;13.18105382678023
17;Belarus;28.03356639495932;53.53188047834662
18;Belgium;4.639960507668174;50.63746163533435
19;Belize;-88.69388853141717;17.20831869152794
20;Benin;2.328740730882776;9.641216685182675
21;Bermuda;-64.76349138259152;32.31013657811678
22;Bhutan;90.40446020012097;27.42175656152405
23;Bolivia;-64.68475372880839;-16.7068768105592
24;Bosnia and Herzegovina;17.77340802033971;44.17173405647711
25;Botswana;23.79898673281396;-22.18577232102927
26;Brazil;-53.09248235070967;-10.78085885093044
27;Brunei;114.7272457521655;4.516500312656111
28;Bulgaria;25.21751251171674;42.76852261435958
29;Burkina Faso;-1.755527695256622;12.26955391379441
30;Burundi;29.87508269442289;-3.35742533641364
31;Cambodia;104.9028042151519;12.71556247544306
32;Cameroon;12.73698416534034;5.693058205843001
33;Canada;-98.2939043084673;61.37646280253995
34;Cape Verde;-23.96723976633645;15.93614024223013
35;Cayman Islands;-80.87702589066522;19.42633116381801
36;Central African Republic;20.46480919712211;6.566321860159108
37;Chad;18.64625111400218;15.33307810506183
38;Chile;-71.36437463800748;-37.74360561760637
39;China;103.8315716900482;36.56011514730338
40;Colombia;-73.08384210425308;3.909413048850168
41;Costa Rica;-84.1935975600334;9.973309520250831
42;Croatia;16.39854883782034;45.06772616795661
43;Cuba;-79.03521175659456;21.62529805129792
44;Cyprus;32.9899916973206;34.91521704381189
45;Czech Republic;15.31410310325545;49.73244820549173
46;Democratic Republic of the Congo;23.64511365423367;-2.879799873230942
47;Denmark;10.05138970277686;55.96537745663802
48;Djibouti;42.56645365231245;11.75015587550579
49;Dominican Republic;-70.49658653845667;18.89636587001878
50;Ecuador;-78.77228231120488;-1.42624147361028
51;Egypt;29.86120870903253;26.49291962647039
52;El Salvador;-88.87103252208958;13.73584954920853
53;England;-1.458673267082183;52.59503045957695
54;Equatorial Guinea;10.33288546048329;1.706961040047458
55;Eritrea;38.85294444471568;15.35751373231389
56;Estonia;25.53579320746804;58.67101415039661
57;Ethiopia;39.60055103486152;8.622951736470814
58;Falkland Islands;-59.37610280610834;-51.73330727597224
59;Faroe Islands;-6.87055477616701;62.07402725445837
60;Fiji;163.4078477030354;-17.44756191743038
61;Finland;26.27079503462873;64.4953589823139
62;France;-2.755221189920638;42.18010698062938
63;French Guiana;-53.24455523904927;3.922512912616116
64;French Southern and Antartic Territories;68.99213404478071;-49.06515147072758
65;Gabon;11.78956925683333;-0.5916559168519153
66;Gambia;-15.3975820256895;13.44972955855733
67;Georgia;43.50752633170685;42.16880077667827
68;Germany;10.38149384342686;51.10636348633548
69;Ghana;-1.216523831432959;7.953954723676246
70;Gibraltar;-5.346700323709023;36.12946367036623
71;Greece;22.97481892549743;39.05118118244461
72;Greenland;-41.34573936675027;74.73599062156052
73;Guatemala;-90.36015745805935;15.69601648124086
74;Guinea;-10.94306126600144;10.43464904653963
75;Guinea-Bissau;-14.97751375416175;12.02692190333278
76;Guyana;-58.98011465278884;4.793461869442656
77;Haiti;-72.69087406294194;18.93837143663199
78;Honduras;-86.62522745581305;14.82100941980532
79;Hong Kong;114.1314468868418;22.38463689407646
80;Hungary;19.39675926735817;47.16324368659328
81;Iceland;-18.59644592781628;64.99831582047342
82;India;79.61572162564565;22.88795251947469
83;Indonesia;117.2704333391668;-2.222961002517387
84;Iran;54.27694672921277;32.57067817791391
85;Iraq;43.74497701623807;33.03980377980842
86;Ireland;-8.145044672551169;53.17822137271363
87;Isle of Man;-4.533695083083717;54.22910190039742
88;Israel;34.99603425494348;31.44396060958157
89;Italy;12.07190709272929;42.78643399636798
90;Ivory Coast;-5.569000185937268;7.627966516559824
91;Jamaica;-77.31881046598318;18.15522638838045
92;Japan;137.9783476098764;37.5511773936148
93;Jordan;36.77092180236232;31.24557413957109
94;Kazakhstan;67.29596458659331;48.16065184728962
95;Kenya;37.82243990624811;0.550766077128081
96;Kiribati;-51.5253253600895;0.6151857081365509
97;Kosovo;20.87374319354716;42.57288338533321
98;Kuwait;47.59462350258138;29.34004208696264
99;Kyrgyzstan;74.54166938687005;41.4619186595216
100;Laos;103.7378722004685;18.50230147282187
101;Latvia;24.90862242756923;56.85181947960623
102;Lebanon;35.87993656035061;33.92035932831538
103;Lesotho;28.22862292499448;-29.57973044423182
104;Liberia;-9.319863993262315;6.452232554621305
105;Libya;18.00960512103937;27.03027797575695
106;Liechtenstein;9.540900288636877;47.13820642945771
107;Lithuania;23.88824901574169;55.3270236411821
108;Luxembourg;6.071763967273559;49.76682427581087
109;Macao;113.5501968649021;22.15778519834939
110;Macedonia;21.68383041005993;41.59500492668465
111;Madagascar;46.70599831334854;-19.37316753000671
112;Malawi;34.28990780344176;-13.21722586468616
113;Malaysia;109.698868442167;3.792392850953022
114;Maldives;73.30227719689738;3.827779807162717
115;Mali;-3.539079412022707;17.34416279095623
116;Malta;14.40375403143413;35.92102698700661
